id,publication_id,edition_id,title,author_creator,corporate_creators,contributors,description_abstract,date_period,year,type,place_of_publishing,publisher,format,extent,other_physical_description,call_number,language,general_note,subject_keywords,url_original_object
321161,348609,321161,Կինը արևելքում,,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Գլխ. խմբ.՝ Մարիամ Խանզադյան,Երևան,2021,2021,Գիրք,Երևան,ՎԱՌՄ տպ.,pdf,136 էջ,նկ․,AII/108295 ; AII/108296,hy ; en,,Ազգագրություն Սոցիոլոգիա Կանանց իրավունքներ ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/348609/edition/321161
366818,396428,366818,Կինը արևելքում,,,"Գլխավոր խմբագիր՝ Մարիամ Խանզադյան ; Խմբագրական խորհուրդ՝ Արամ Քոսյան, Ռոբերտ Ղազարյան,Գոռ Մարգարյան, Երվանդ Գրեկյան, Հասմիկ Հմայակյան,Ռուսլան Ցականյան, Տիգրան Միքայելյան",Երևան,2023,2023,Գիրք,Երևան,ՀՀ ԳԱԱ արևելագիտության ինստիտուտ,pdf,276 էջ,,,hy,,Պատմություն Արևելք Ժողովածուներ,https://arar.sci.am/dlibra/publication/396428/edition/366818
322655,350249,322655,Կովկասեան մշակութային աշխարհը եւ Հայաստանը,"Մուրադեան, Պարոյր",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,,Երևան,2008,2008,Գիրք,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,pdf,412 էջ,,AII/93835,hy,,,https://arar.sci.am/dlibra/publication/350249/edition/322655
302479,331021,302479,Հալեպի հայոց գեղարվեստը,"Ղազարյան, Մանյա ; Ստեփանյան, Աշոտ","ՀՀ ԳԱԱ, Արևելագիտության ինստիտուտ",Խմբ․՝ Նիկոլայ Հովհաննիսյան,Երևան,1997,1997,Գիրք,Երևան,,pdf,66 էջ,,AII/84130,hy,,Պատմություն Հալեպ Գեղարվեստ ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/331021/edition/302479
325675,353479,325675,Հալեպի հայոց գեղարվեստը,"Ղազարյան, Մանյա Միքայելի ; Ստեփանյան, Աշոտ",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Խմբ.՝ Նիկոլայ Հովհաննիսյան,Երևան,1997,1997,Գիրք,Երևան,,pdf,68 էջ,,,hy,,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ Արվեստ,https://arar.sci.am/dlibra/publication/353479/edition/325675
320850,348229,320850,Համակովկասյան այբուբենի նախագիծ,"Ղազարյան, Վազգեն Ռաֆայելի",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Խմբ.՝ Մարգարիտ Խաչիկյան,Երևան,2012,2012,Գիրք,Երևան,Հեղ. հրատ.,pdf,336 էջ,նկ․ ; աղս․,AII/98476 ; AII/98477,hy,,Լեզվաբանություն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/348229/edition/320850
334587,364021,334587,Համաշխարհային առեւտուրը և իրանահայութիւնը 17-րդ դարում,"Բայբուրդեան, Վահան",,,Թեհրան,1996,1996,Գիրք,Թեհրան,C/O JADID (Ex. Modern),pdf,247 էջ,,AII/86404,hy,,Հայոց պատմություն Սփիւռքահայութիւն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/364021/edition/334587
342641,372540,342641,Համաշխարհային առեւտուրը և իրանահայութիւնը 17-րդ դարում,"Բայբուրդեան, Վահան",ՀՀ Գիտությունների ազգային ակադեմիա. Արևելագիտության ինստիտուտ,,Թեհրան,1996,1996,Գիրք,Թեհրան,,pdf,247 էջ,,AII/86404 ; AII/86405,hy,,Հայ գաղթօջախներ Առևտրային հարաբերություններ,https://arar.sci.am/dlibra/publication/372540/edition/342641
342645,372544,342645,Հայ առևտրական բուրժուազիան Իրանի տնտեսական կյանքում,"Ստեփանյան, Ս. Խ.",ՀՀ Գիտությունների ազգային ակադեմիա. Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Հ. Մ. Եգանյան,Երևան,1992,1992,Գիրք,Երևան,Հայաստանի ԳԱ հրատ.,pdf,175 էջ,,AII/82762 ; AII/82856 ; AII/82857 ; AII/82858,hy,,Տնտեսություն Հայ առևտրական բուրժուազիա Իրան,https://arar.sci.am/dlibra/publication/372544/edition/342645
318345,345600,318345,Հայ առևտրական բուրժուազիան Իրանի տնտեսական կյանքում. (XIX դարի վերջ XX դարի սկիզբ),"Ստեփանյան, Սամվել Խաչիկի",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Հ. Մ. Եգանյան,Երևան,1992,1992,Գիրք,Երևան,Հայաստանի ԳԱ հրատ.,pdf,174 էջ,,AII/82762,hy,,Տնտեսություն Պատմություն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/345600/edition/318345
320896,348278,320896,Հայասա քաղաքական և մշակութային պատմությունը,"Ղազարյան, Ռոբերտ",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Ա. Վ. Քոսյան ; Է. Լ. Դանիելյան,Երևան,2009,2009,Գիրք,Երևան,«Լուսակն» հրատ.,pdf,163 էջ,,AII/94374 ; AII/94414,hy,,Հայոց պատմություն Հայասա ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/348278/edition/320896
320904,348286,320904,Հայաստանը VI-VIII դարերում. (Արաբական նվաճումներին նախորդող և տիրապեության հաստատման առաջին շրջանում),"Տեր-Ղևոնդյան, Արամ Նահապետի","ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ Պատմության, Արևելագիտության ինստիտուտներ",Պատ. խմբ.՝ Վ. Ա. Տեր-Ղևոնդյան,Երևան,1996,1996,Գիրք,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,pdf,192 էջ,նկ․,AII/83821 ; AII/83822,hy,,Հայոց պատմություն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/348286/edition/320904
321029,348428,321029,Հայաստանը և արեւելաքրիստոնեական քաղաքակրթությունը=Армения и восточнохристианская цивилизация=Armenia and Oriental Christian civilisation,,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Խմբ.՝ Ա. Հակոբյան ; Ա. Բոզոյան ; Ռ. Սաֆրաստյան,Երևան,2016,2016,Գիրք,Երևան,«Գիտություն» հրատ.,pdf,224 էջ,,AII/102189,hy,"Միջազգային գիտաժողով՝ նվիրված ՀՀ ԳԱԱ Արևելագիտության ինստիտուտի Քրիստոնյա Արևելքի բաժնի ստեղծման 40-ամյակին և նրա հիմնադիր, պրոֆեսոր Պարույր Մուրադյանի մահվան 5-րդ տարելիցին",Արևելագիտություն Պատմություն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/348428/edition/321029
